GAME,SOFTWARE,DEVELOPER,PUBLISHER
DayZ,BattlEye,Bohemia Interactive,Bohemia Interactive
Dead by Daylight,Easy Anti-Cheat,Behaviour Interactive,Behaviour Interactive
Deadside,Easy Anti-Cheat,Bad Pixel,Bad Pixel
Dekaron,Easy Anti-Cheat,Ubifun,Nexon
Destiny 2,BattlEye,Bungie,Bungie
Digimon Masters Online,nProtect GameGuard,Move Games,Move Games
Dirty Bomb,Easy Anti-Cheat,Splash Damage,Splash Damage
DJMax Respect V,XIGNCODE3,Neowiz,Neowiz
Doom 3,PunkBuster,id Software,Activision
Dragomon Hunter,XIGNCODE3,X-Legend,X-Legend
Dragon Ball Fighter Z,Easy Anti-Cheat,Arc System Works,Bandai Namco
Dragon Ball Xenoverse 2,Easy Anti-Cheat,Dimps,Bandai Namco
Dragon Nest,XIGNCODE3,Eyedentity Games,Eyedentity Games
Dragon Saga,nProtect GameGuard,Gravity Interactive,Gravity Interactive
Dreadnought,Easy Anti-Cheat,Six Foot,Grey Box
Dual Universe,EQU8,Novaquark,Novaquark
Due Process,Easy Anti-Cheat,Giant Enemy Crab,Annapurna Interactive
Dying Light: Bad Blood,Easy Anti-Cheat,Techland,Techland
Elden Ring,Easy Anti-Cheat,FromSoftware,Bandai Namco
Elsword,XIGNCODE3,KOG,KOG
Elyon,XIGNCODE3,KRAFTON,Kakao Games
Empyrion,Easy Anti-Cheat,Eleon Game Studios,Eleon Game Studios
Enemy Territory: Quake Wars,PunkBuster,Splash Damage,Activision
Enlisted,Easy Anti-Cheat,Darkflow Software,Gaijin Entertainment
Escape from Tarkov,BattlEye,Battlestate Games,Battlestate Games
Eternal Magic,XIGNCODE3,Duoyi,101XP
Eternal Return,XIGNCODE3,Nimble Neuron,Kakao Games
EZ2ON REBOOT : R,XIGNCODE3,Neonovice,Neonovice
F.E.A.R.,PunkBuster,Monolith Productions,Vivendi Games
F.E.A.R. Online,XIGNCODE3,InPlay Interactive,Aeria Games
F.E.A.R. Perseus Mandate,PunkBuster,TimeGate Studios,Vivendi Games
Fall Guys: Ultimate Knockout,Easy Anti-Cheat,Mediatonic,Devolver Digital
Far Cry,PunkBuster,Crytek,Ubisoft
Far Cry 2,PunkBuster,Ubisoft,Ubisoft
Far Cry 3,PunkBuster,Ubisoft,Ubisoft
Far Cry 5,Easy Anti-Cheat,Ubisoft,Ubisoft
Fear the Wolves,Easy Anti-Cheat,Vostok Games,Focus Home Interactive
Fiesta Online,XIGNCODE3,Gamigo,Gamigo
FIFA 23,EA AntiCheat,Electronic Arts,Electronic Arts
Flyff Online,Easy Anti-Cheat,Gala Lab,Webzen
For Honor,Easy Anti-Cheat,Ubisoft,Ubisoft
Fortnite,BattlEye,Epic Games,Epic Games
Fortnite Battle Royale,Easy Anti-Cheat,Epic Games,Epic Games
Fractured Lands,Easy Anti-Cheat,Unbroken Studios,Unbroken Studios
FreeStyle 2: Street Basketball,XIGNCODE3,Joycity,Joycity
Freestyle Football,XIGNCODE3,Joycity,Joycity
Friday The 13th,Easy Anti-Cheat,IllFonic,Gun Media
Frontlines: Fuel of War,PunkBuster,Kaos Studios,THQ
Gears 5,Easy Anti-Cheat,The Coalition,Xbox Game Studios
Genshin Impact,mhyprot2,miHoYo,miHoYo
Ghost in the Shell: Stand Alone Complex,XIGNCODE3,Neople,Nexon
Ghost Online,Easy Anti-Cheat,NNG,Netgame
H-Hour: World's Elite,Easy Anti-Cheat,SOF Studios,SOF Studios
H1Z1: Just Survive,BattlEye,Daybreak Game Company,Daybreak Game Company
H1Z1: King of the Hill,BattlEye,Daybreak Game Company,Daybreak Game Company
Halo: The Master Chief Collection,Easy Anti-Cheat,343 Industries,Xbox Game Studios
Heat,Easy Anti-Cheat,CodeHatch,CodeHatch
Hell Let Loose,Easy Anti-Cheat,Black Matter,Team17 Digital
Hero Plus,XIGNCODE3,MGAME,Netplus
Heroes & Generals,BattlEye,Reto-Moto,Reto-Moto
Hide & Hold Out,Easy Anti-Cheat,Red Abyss Software,Red Abyss Software
Hide Or Die,EQU8,VecFour Digital,VecFour Digital
Honkai Impact 3rd,mhyprot2,miHoYo,miHoYo
Hood: Outlaws & Legends,Easy Anti-Cheat,Sumo Newcastle,Focus Home Interactive
Hunt: Showdown,Easy Anti-Cheat,Crytek,Crytek
Hurtworld,Easy Anti-Cheat,Bankroll Studios,Bankroll Studios
Hyper Universe,XIGNCODE3,CWave,Nexon
Icarus Online,XIGNCODE3,WemadeIO,101XP
Infestation: Survivor Stories Classic,PunkBuster,Hammerpoint Interactive,OP Productions
Insurgency,BattlEye,New World Interactive,New World Interactive
Insurgency: Sandstorm,Easy Anti-Cheat,New World Interactive,Focus Home Interactive
Intershelter,Easy Anti-Cheat,Eforb,Eforb
Intruder,Easy Anti-Cheat,Superboss Games,Superboss Games
iRacing,Easy Anti-Cheat,iRacing.com Motorsport Simulations,iRacing.com Motorsport Simulations
Ironsight,Easy Anti-Cheat,Wiple Games,Aeria Games
Islands of Nyne: Battle Royale,BattlEye,Define Human Studios,Define Human Studios
Joint Operations: Typhoon Rising,PunkBuster,NovaLogic,NovaLogic
Jump Force,Easy Anti-Cheat,Spike Chunsoft,Bandai Namco
Karos,XIGNCODE3,Galaxy Gate,GameXP
Kingdom Under Fire 2,Easy Anti-Cheat,Blueside,Gameforge 4D
Knight Online,XIGNCODE3,Noah System,NTTGame
Knockout City,Easy Anti-Cheat,Velan Studios,Electronic Arts
KovaaK 2.0,EQU8,The Meta,The Meta
Kritika Online,Easy Anti-Cheat,ALLM,ALLM
Kritika: Reboot,XIGNCODE3,ALLM,ALLM
La Tale,nProtect GameGuard,Actoz Soft,Papaya Play
Last Chaos,Easy Anti-Cheat,Gamigo,Gamigo
Last Oasis,Easy Anti-Cheat,Donkey Crew,Donkey Crew
Last Year: The Nightmare,Easy Anti-Cheat,Elastic Games,Elastic Games
Lemnis Gate,Easy Anti-Cheat,Ratloop Games,Frontier Foundry
Line of Sight,BattlEye,BlackSpot Entertainment,BlackSpot Entertainment
Lineage 2,nProtect GameGuard,NCSoft,NCSoft
Lost Ark,Easy Anti-Cheat,Smilegate,Amazon Games
Lost Saga Online,Easy Anti-Cheat,IO Entertainment,Z8Games
M.A.R.S,Easy Anti-Cheat,YingPei Games,SubaGames
MapleStory,nProtect GameGuard,Nexon,Nexon
Marvel End Time Arena,XIGNCODE3,Smilegate,Smilegate
Medal of Honor,PunkBuster,DICE,Electronic Arts
Medal of Honor: Airborne,PunkBuster,DICE,Electronic Arts
Medal of Honor: Warfighter,PunkBuster,DICE,Electronic Arts
Memories of Mars,Easy Anti-Cheat,Limbic Entertainment,505 Games
Metin2,nProtect GameGuard,WEBZEN,Gameforge 4D
Metro Conflict: The Origin,XIGNCODE3,Red Duck,Red Duck
MicroVolts Surge,XIGNCODE3,NQ Games,Rock Hippo
MilkChoco,XIGNCODE3,GameParadise,GameParadise
Miscreated,Easy Anti-Cheat,Entrada Interactive,Entrada Interactive
Monstrum 2,Easy Anti-Cheat,Team Junkfish,Team Junkfish
Mount & Blade II: Bannerlord,BattlEye,TaleWorlds Entertainment,TaleWorlds Entertainment
MU Legend,Easy Anti-Cheat,Webzen,Webzen
MU Online,Easy Anti-Cheat,Webzen,Webzen
Naruto To Boruto: Shinobi Striker,Easy Anti-Cheat,Soleil,Bandai Namco
Need for Speed: ProStreet,PunkBuster,Electronic Arts,Electronic Arts
Need for Speed: Undercover,PunkBuster,Electronic Arts,Electronic Arts
New GUNDAM Breaker,Easy Anti-Cheat,Crafts & Meister,Bandai Namco
New World,Easy Anti-Cheat,Amazon Games,Amazon Games
Next Day: Survival,Easy Anti-Cheat,SOFF Games,Last Level
Nine to Five,Easy Anti-Cheat,Redhill Games,Redhill Games
One Punch Man,Easy Anti-Cheat,Spike Chunsoft,Bandai Namco
Onward,Easy Anti-Cheat,Downpour Interactive,Downpour Interactive
Outlaws of the Old West,BattlEye,Virtual Basement,Wandering Wizard
Outriders,Easy Anti-Cheat,People Can Fly,Square Enix
Overstep,Easy Anti-Cheat,Gamecan,Gamecan
Overwatch 2,Defense Matrix,Blizzard Entertainment,Blizzard Entertainment
Paladins,Easy Anti-Cheat,Hi-Rez Studios,Hi-Rez Studios
Pandemic Express,Easy Anti-Cheat,TinyBuild Games,TinyBuild Games
PangYa,nProtect GameGuard,Ntreev Soft,Smilegate
Phantasy Star Online 2,nProtect GameGuard,Sega,Sega
Phantomers,BattlEye,Dream Execution,NTTGame
PixARK,BattlEye,Snail Games,Snail Games
PlanetSide 2,BattlEye,Sony,Sony
PlanetSide Arena,BattlEye,Daybreak,Daybreak
Plants vs. Zombies: Battle for Neighborville,Easy Anti-Cheat,PopCap Games,Electronic Arts
PlayerUnknown's Battlegrounds,BattlEye,PUBG Corporation,PUBG Corporation
Post Scriptum,Easy Anti-Cheat,Periscope Games,Offworld Industries
Predator: Hunting Grounds,Easy Anti-Cheat,IllFonic,Sony
Prey,PunkBuster,Human Head Studios,2K Games
Project Argo,BattlEye,Bohemia Interactive,Bohemia Interactive
Qanga,Easy Anti-Cheat,iolaCorp,iolaCorp
Quake 4,PunkBuster,Raven Software,Activision
Quake III Arena,PunkBuster,Id Software,Activision
Quake Live,PunkBuster,Id Software,Bethesda Softworks
Quantum League,Easy Anti-Cheat,Nimble Giant Entertainment,Nimble Giant Entertainment
Ragnarok,Easy Anti-Cheat,Gravity,Gravity
Rakion Chaos Force,XIGNCODE3,Neosonyx,Neosonyx
Rappelz,Easy Anti-Cheat,Gala Lab,Webzen
Realm Royale,Easy Anti-Cheat,Heroic Leap Games,Hi-Rez Studios
Rec Room,Easy Anti-Cheat,Rec Room,Rec Room
Red Orchestra 2: Heroes of Stalingrad,PunkBuster,Tripwire Interactive,1C Company
Reign of Kings,Easy Anti-Cheat,Code}{atch,Code}{atch
Rend,Easy Anti-Cheat,Frostkeep Studios,Frostkeep Studios
Return to Castle Wolfenstein,PunkBuster,Gray Matter Interactive,Activision
RF Online,Easy Anti-Cheat,CCR,CCR
Riders of Icarus,nProtect GameGuard,WeMade,VALOFE
Ring of Elysium,TenProtect,Aurora Studio,Tencent Games
Rising Storm 2: Vietnam,Easy Anti-Cheat,Antimatter Games,Tripwire Interactive
Robocraft,Easy Anti-Cheat,Freejam Games,Freejam Games
Rocket Arena,Easy Anti-Cheat,Final Strike Games,Electronic Arts
Rogue Company,Easy Anti-Cheat,First Watch Games,Hi Rez Studios
Rohan: Blood Feud,nProtect GameGuard,YNK Interactive,YNK Interactive
Rumble Fighter: Unleashed,nProtect GameGuard,NIMONIX,RedFox Games
Run and Fire,XIGNCODE3,Galaxy Gate,Nikita Online
Rust,Easy Anti-Cheat,Facepunch Studios,Facepunch Studios
S.K.I.L.L. - Special Force 2,XIGNCODE3,Dragonfly GF,Gameforge 4D
S4 League,Easy Anti-Cheat,Neowiz,Neowiz
Sabotaj,Easy Anti-Cheat,HES Games,TYPER Games
Scions of Fate,Easy Anti-Cheat,KRG Soft,CDC Games
SCUM,Easy Anti-Cheat,Gamepires,Gamepires
Sector's Edge,Easy Anti-Cheat,Vercidium,Vercidium
Shadow Arena,Easy Anti-Cheat,Pearl Abyss,Pearl Abyss
Shaiya,Easy Anti-Cheat,Aeria Games,Aeria Games
Smite,Easy Anti-Cheat,Hi-Rez Studios,Hi-Rez Studios
Sniper Ghost Warrior Contracts,Easy Anti-Cheat,CI Games,CI Games
Soldier Front 2,XIGNCODE3,Dragonfly,Aeria Games
Soldier of Fortune II: Double Helix,PunkBuster,Raven Software,Activision
SoulSaverOnline,XIGNCODE3,Smartbig Corporation,Netgame
Soulworker,XIGNCODE3,Lion Games,Lion Games
Space Junkies,Easy Anti-Cheat,Ubisoft,Ubisoft
Special Force 2,Easy Anti-Cheat,PlayPark,PlayPark
Spellbreak,Easy Anti-Cheat,Proletariat,Proletariat
Splitgate,EQU8,1047 Games,1047 Games
Squad,Easy Anti-Cheat,Offworld Industries,Offworld Industries
Star Wars: Squadrons,Easy Anti-Cheat,Motive Studios,Electronic Arts
Super Dragon Ball Heroes: World Mission,Easy Anti-Cheat,Bandai Namco,Bandai Namco
Survarium,BattlEye,Vostok Games,Vostok Games
Sword Art Online: Alicization Lycoris,Easy Anti-Cheat,Aquria,Bandai Namco
Sword Art Online: Fatal Bullet,Easy Anti-Cheat,Dimps,Bandai Namco
Tactic Force,Easy Anti-Cheat,Tracer Interactive,Tracer Interactive
Tales Runner,Easy Anti-Cheat,PlayPark,PlayPark
TERA,XIGNCODE3,Bluehole,Destiny Games
The Crew 2,BattlEye,Ivory Tower,Ubisoft
The Culling,Easy Anti-Cheat,Xaviant,Xaviant
The Cycle,Easy Anti-Cheat,Yager Development,Yager Development
The Isle,BattlEye,Afterthought,Afterthought
Tibia,BattlEye,CipSoft,CipSoft
Tom Clancy's Ghost Recon Breakpoint,BattlEye,Ubisoft,Ubisoft
Tom Clancy's Ghost Recon: Future Soldier,PunkBuster,Ubisoft,Ubisoft
Tom Clancy's Ghost Recon: Wildlands,Easy Anti-Cheat,Ubisoft,Ubisoft
Tom Clancy's Rainbow Six 3: Raven Shield,PunkBuster,Red Storm Entertainment,Ubisoft
Tom Clancy's Rainbow Six Siege,BattlEye,Ubisoft,Ubisoft
Tom Clancy's Rainbow Six: Lockdown,PunkBuster,Red Storm Entertainment,Ubisoft
Tom Clancy's Rainbow Six: Vegas,PunkBuster,Ubisoft,Ubisoft
Tom Clancy's Rainbow Six: Vegas 2,PunkBuster,Ubisoft,Ubisoft
Tom Clancy's The Division 2,Easy Anti-Cheat,Massive Entertainment,Ubisoft
Toram Online,XIGNCODE3,Asobimo,Asobimo
Totally Accurate Battlegrounds,EQU8,Landfall,Landfall
Tree of Life,XIGNCODE3,OddOneGames,OddOneGames
Trials Rising,Easy Anti-Cheat,RedLynx,Ubisoft
Twin Saga,XIGNCODE3,X-Legend,Aeria Games
Uncharted Waters Online,nProtect GameGuard,Koei Tecmo,Papaya Play
Unturned,BattlEye,Smartly Dressed Games,Smartly Dressed Games
Valorant,Vanguard,Riot Games,Riot Games
VRChat,Easy Anti-Cheat,VRChat,VRChat
War Rock,Easy Anti-Cheat,Dream Execution,Papaya Play
War Thunder,Easy Anti-Cheat,Gaijin Entertainment,Gaijin Entertainment
Warface,Easy Anti-Cheat,Crytek,My.com
"Warhammer 40,000: Darktide",Easy Anti-Cheat,Fatshark,Fatshark
"Warhammer 40,000: Eternal Crusade",Easy Anti-Cheat,Behaviour Interactive,Behaviour Interactive
Warhammer: Vermintide 2,Easy Anti-Cheat,Fatshark,Fatshark
Watch Dogs 2,Easy Anti-Cheat,Ubisoft,Ubisoft
Watch Dogs: Legion,BattlEye,Ubisoft,Ubisoft
Will To Live,Easy Anti-Cheat,AlphaSoft,AlphaSoft
Wolfenstein,PunkBuster,Raven Software,Activision
Wolfenstein: Enemy Territory,PunkBuster,Splash Damage,Activision
WolfTeam,Easy Anti-Cheat,Softnyx,Softnyx
WolfTeam: Classic,XIGNCODE3,Neosonyx,Neosonyx
World War 3,Easy Anti-Cheat,The Farm 51,The Farm 51
Worms Rumble,Easy Anti-Cheat,Team17 Digital,Team17 Digital
XERA: Survival,Easy Anti-Cheat,Spotted Kiwi Interactive,Spotted Kiwi Interactive
Yulgang,Easy Anti-Cheat,PlayPark,PlayPark
Z1 Battle Royale,BattlEye,Daybreak Game Company,Daybreak Game Company
Zone4,XIGNCODE3,Infovine,Infovine
Zula,BattlEye,Madbyte Games,IDC Games
Zyconix,XIGNCODE3,Accolade,Ziggurat
